Scenario,Step Type,Step Text,Value,Latency,Variable Path
steps to deactivate the Emergency Tow feature by Motion+ Drive Drive,Given_7,the vehicle power mode CAN signal VehPwMdeStatGrp_VehPwMdeSt from VPMS(CCZM) is set to <VehPwMdeStatGrp_VehPwMdeSt> value=7,vehpwmdestatgrp_vehpwmdestat,,
steps to deactivate the Emergency Tow feature by Motion+ Drive Drive,When_1,the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to <TrnRngArbnGrp_TrnRngRq> value=3,trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ Drive Drive,Then_1,"the Motion+ Platform should set the ET feature status CAN signal TrnNtrlTowCmdAct to ""TRNNTRLTOWCMDACTL_NORMAL_MODE"" value=0 latency=1",trnrearoilpmpctlfrmstatus_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Accessory,Given_1,"the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to ""Neutral"" value=1",trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Accessory,Given_2,the vehicle speed CAN signal VehVEstGrp is set to less than 1 kph value=0,tripresetsyncmessage_fe1_can_fd_enable,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Accessory,Given_3,"the ET feature status CAN signal TrnNtrlTowCmdAct is set to ""TRNNTRLTOWCMDACTL_NEUTRAL_TOW_ENTRY"" value=2",stabctlstatlomuovrstectrl_ofordstabctrl2_oabs_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Accessory,Given_4,"the Motion+ Platform receives the feature button status CAN signal NtrlTowMdeEnblBRqDrv set to ""Yes"" from ET VCM FUC value=1",ntrltowmdeenblbrqdrv,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Accessory,Given_5,"the Motion+ Platform receives the feature button availability CAN signal TrnGearNtmAllowStat set to ""No"" from ET VCM FUC value=0",trnrearoilpmpctlfrmstatus_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Accessory,Given_6,"the brake Pedal CAN signal BpedStatRdndntGrp_BpedDrvrPrssStatRdndnt is set to ""BPEDDRVRPRSSSTAT_BPED_PRESSED_CONFIRMED"" value=3",bpedstatrdndntgrp_bpeddrvrprssstatrdndnt,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Accessory,Given_7,the vehicle power mode CAN signal VehPwMdeStatGrp_VehPwMdeSt from VPMS(CCZM) is set to <VehPwMdeStatGrp_VehPwMdeSt> value=5,vehpwmdestatgrp_vehpwmdestat,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Accessory,When_1,the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to <TrnRngArbnGrp_TrnRngRq> value=1,trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Accessory,Then_1,"the Motion+ Platform should set the ET feature status CAN signal TrnNtrlTowCmdAct to ""TRNNTRLTOWCMDACTL_NORMAL_MODE"" value=0 latency=1",trnrearoilpmpctlfrmstatus_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Drive,Given_1,"the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to ""Neutral"" value=1",trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Drive,Given_2,the vehicle speed CAN signal VehVEstGrp is set to less than 1 kph value=0,tripresetsyncmessage_fe1_can_fd_enable,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Drive,Given_3,"the ET feature status CAN signal TrnNtrlTowCmdAct is set to ""TRNNTRLTOWCMDACTL_NEUTRAL_TOW_ENTRY"" value=2",stabctlstatlomuovrstectrl_ofordstabctrl2_oabs_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Drive,Given_4,"the Motion+ Platform receives the feature button status CAN signal NtrlTowMdeEnblBRqDrv set to ""Yes"" from ET VCM FUC value=1",ntrltowmdeenblbrqdrv,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Drive,Given_5,"the Motion+ Platform receives the feature button availability CAN signal TrnGearNtmAllowStat set to ""No"" from ET VCM FUC value=0",trnrearoilpmpctlfrmstatus_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Drive,Given_6,"the brake Pedal CAN signal BpedStatRdndntGrp_BpedDrvrPrssStatRdndnt is set to ""BPEDDRVRPRSSSTAT_BPED_PRESSED_CONFIRMED"" value=3",bpedstatrdndntgrp_bpeddrvrprssstatrdndnt,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Drive,Given_7,the vehicle power mode CAN signal VehPwMdeStatGrp_VehPwMdeSt from VPMS(CCZM) is set to <VehPwMdeStatGrp_VehPwMdeSt> value=7,vehpwmdestatgrp_vehpwmdestat,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Drive,When_1,the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to <TrnRngArbnGrp_TrnRngRq> value=1,trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ Reverse Drive,Then_1,"the Motion+ Platform should set the ET feature status CAN signal TrnNtrlTowCmdAct to ""TRNNTRLTOWCMDACTL_NORMAL_MODE"" value=0 latency=1",trnrearoilpmpctlfrmstatus_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ InhibitCharge,Given_1,"the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to ""Neutral"" value=1",trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ InhibitCharge,Given_2,the vehicle speed CAN signal VehVEstGrp is set to less than 1 kph value=0,tripresetsyncmessage_fe1_can_fd_enable,,
steps to deactivate the Emergency Tow feature by Motion+ InhibitCharge,Given_3,"the ET feature status CAN signal TrnNtrlTowCmdAct is set to ""TRNNTRLTOWCMDACTL_NEUTRAL_TOW_ENTRY"" value=2",stabctlstatlomuovrstectrl_ofordstabctrl2_oabs_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ InhibitCharge,Given_4,"the Motion+ Platform receives the feature button status CAN signal NtrlTowMdeEnblBRqDrv set to ""Yes"" from ET VCM FUC value=1",ntrltowmdeenblbrqdrv,,
steps to deactivate the Emergency Tow feature by Motion+ InhibitCharge,Given_5,"the Motion+ Platform receives the feature button availability CAN signal TrnGearNtmAllowStat set to ""No"" from ET VCM FUC value=0",trnrearoilpmpctlfrmstatus_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ InhibitCharge,Given_6,"the brake Pedal CAN signal BpedStatRdndntGrp_BpedDrvrPrssStatRdndnt is set to ""BPEDDRVRPRSSSTAT_BPED_PRESSED_CONFIRMED"" value=3",bpedstatrdndntgrp_bpeddrvrprssstatrdndnt,,
steps to deactivate the Emergency Tow feature by Motion+ InhibitCharge,Given_7,the vehicle power mode CAN signal VehPwMdeStatGrp_VehPwMdeSt from VPMS(CCZM) is set to <VehPwMdeStatGrp_VehPwMdeSt> value=5,vehpwmdestatgrp_vehpwmdestat,,
steps to deactivate the Emergency Tow feature by Motion+ InhibitCharge,Then_1,"the Motion+ Platform should set the ET feature status CAN signal TrnNtrlTowCmdAct to ""TRNNTRLTOWCMDACTL_NORMAL_MODE"" value=0",trnrearoilpmpctlfrmstatus_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Accessory,Given_1,"the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to ""Park"" value=0",trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Accessory,Given_2,the vehicle speed CAN signal VehVEstGrp is set to less than 1 kph value=0,tripresetsyncmessage_fe1_can_fd_enable,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Accessory,Given_3,"the ET feature status CAN signal TrnNtrlTowCmdAct is set to ""TRNNTRLTOWCMDACTL_NORMAL_MODE"" value=0",trnntrltowcmdactlvc_ovcmcanvcmmsg1_ovcm_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Accessory,Given_4,"the Motion+ Platform receives the feature button status CAN signal NtrlTowMdeEnblBRqDrv set to ""Yes"" from ET VCM FUC value=1",ntrltowmdeenblbrqdrv,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Accessory,Given_5,"the Motion+ Platform receives the feature button availability CAN signal TrnGearNtmAllowStat set to ""Yes"" from ET VCM FUC value=1",trnrearoilpmpctlfrmstatus_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Accessory,Given_6,"the brake Pedal CAN signal BpedStatRdndntGrp_BpedDrvrPrssStatRdndnt is set to ""BPEDDRVRPRSSSTAT_BPED_PRESSED_CONFIRMED"" value=3",bpedstatrdndntgrp_bpeddrvrprssstatrdndnt,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Accessory,Given_7,the vehicle power mode CAN signal VehPwMdeStatGrp_VehPwMdeSt from VPMS(CCZM) is set to <VehPwMdeStatGrp_VehPwMdeSt> value=5,vehpwmdestatgrp_vehpwmdestat,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Accessory,When_1,"the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to ""Neutral"" value=2",trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Accessory,Then_1,"the Motion+ Platform should set the ET feature status CAN signal TrnNtrlTowCmdAct to ""TRNNTRLTOWCMDACTL_NEUTRAL_TOW_ENTRY"" within 4 seconds value=2 latency=4",mtrrearaxlecoilteactl_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Drive,Given_1,"the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to ""Park"" value=0",trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Drive,Given_2,the vehicle speed CAN signal VehVEstGrp is set to less than 1 kph value=0,tripresetsyncmessage_fe1_can_fd_enable,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Drive,Given_3,"the ET feature status CAN signal TrnNtrlTowCmdAct is set to ""TRNNTRLTOWCMDACTL_NORMAL_MODE"" value=0",trnntrltowcmdactlvc_ovcmcanvcmmsg1_ovcm_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Drive,Given_4,"the Motion+ Platform receives the feature button status CAN signal NtrlTowMdeEnblBRqDrv set to ""Yes"" from ET VCM FUC value=1",ntrltowmdeenblbrqdrv,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Drive,Given_5,"the Motion+ Platform receives the feature button availability CAN signal TrnGearNtmAllowStat set to ""Yes"" from ET VCM FUC value=1",trnrearoilpmpctlfrmstatus_odmcmra_status_ordc_can_fd,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Drive,Given_6,"the brake Pedal CAN signal BpedStatRdndntGrp_BpedDrvrPrssStatRdndnt is set to ""BPEDDRVRPRSSSTAT_BPED_PRESSED_CONFIRMED"" value=3",bpedstatrdndntgrp_bpeddrvrprssstatrdndnt,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Drive,Given_7,the vehicle power mode CAN signal VehPwMdeStatGrp_VehPwMdeSt from VPMS(CCZM) is set to <VehPwMdeStatGrp_VehPwMdeSt> value=7,vehpwmdestatgrp_vehpwmdestat,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Drive,When_1,"the gear position CAN signal TrnRngArbnGrp_TrnRngRq is set to ""Neutral"" value=2",trnrngarbngrp_trnrngrq,,
steps to deactivate the Emergency Tow feature by Motion+ Neutral Drive,Then_1,"the Motion+ Platform should set the ET feature status CAN signal TrnNtrlTowCmdAct to ""TRNNTRLTOWCMDACTL_NEUTRAL_TOW_ENTRY"" within 4 seconds value=2 latency=4",mtrrearaxlecoilteactl_odmcmra_status_ordc_can_fd,,
Entering Enhanced Accessory Mode from Brake Press with Passive Key,Given_1,the power mode is set to <VehPwMdeStat_initial> value=2,vehpwmdestatgrp_vehpwmdestat,,
Entering Enhanced Accessory Mode from Brake Press with Passive Key,When_1,CCZM receives BpedDrvrPrssStatRdndnt signal set to <brake_pedal_status> from ABS module value=2,bpedstatrdndntgrp_bpeddrvrprssstatrdndnt,,
Entering Enhanced Accessory Mode from Brake Press with Passive Key,When_2,CCZM passive key status is <L_PropSysAuthStatis> value=2,ccpa_status_enable,,
Entering Enhanced Accessory Mode from Brake Press with Passive Key,Then_1,the CCZM module should provide power mode set to <VehPwMdeStat_final> value=5 latency=2,vehpwmdestatgrp_vehpwmdestatqlfr,,
Entering Enhanced Accessory Mode from Brake Press with Passive Key,Then_2,the VCM module should provide BattTracCntctRq signal set <hv_contactors_req> to BECM module value=1 latency=2,batttraccntctrq,,
Entering Enhanced Accessory Mode from Brake Press with Passive Key,Then_3,the BECM module should provide BattTracCntctCmd signal set <hv_contactors_status> to VCM module value=2 latency=2,batttraccntctcmd,,
Entering Enhanced Accessory Mode from Brake Press with Active Key,Given_1,the power mode is set to <VehPwMdeStat_initial> value=2,vehpwmdestatgrp_vehpwmdestat,,
Entering Enhanced Accessory Mode from Brake Press with Active Key,When_1,the CCZM receives BpedDrvrPrssStatRdndnt signal set to <brake_pedal_status> from ABS module value=3,bpedstatrdndntgrp_bpeddrvrprssstatrdndnt,,
Entering Enhanced Accessory Mode from Brake Press with Active Key,When_2,the CCZM active key status is <L_PropSysAuthStatis> value=2,aad_ecm_status_enable,,
Entering Enhanced Accessory Mode from Brake Press with Active Key,When_3,the CCZM module should provide power mode set to <VehPwMdeStat_final> value=5,vehpwmdestatgrp_vehpwmdestat,,
Entering Enhanced Accessory Mode from Brake Press with Active Key,When_4,the CCZM module should provide ActvPrplRq signal set <full_accessory_request> to VCM value=1,actvprplrq,,
Entering Enhanced Accessory Mode from Brake Press with Active Key,Then_1,the VCM module should provide BattTracCntctRq signal set <hv_contactors_req> to BECM module value=1 latency=2,batttraccntctrq,,
Entering Enhanced Accessory Mode from Brake Press with Active Key,Then_2,the BECM module should provide BattTracCntctCmd signal set <hv_contactors_status> to VCM module value=2 latency=2,batttraccntctcmd,,
Vehicle wakeup from Brake Pedal,Given_1,the power mode VehPwMdeStat signal is set value=1,vehpwmdestatgrp_vehpwmdestat,,
Vehicle wakeup from Brake Pedal,When_1,the user presses the Brake pedal BpedDrvrPrssStatRdndnt value=3,bpedstatrdndntgrp_bpeddrvrprssstatrdndnt,,
Vehicle wakeup from Brake Pedal,Then_1,the ABS module should send BpedDrvrPrssStatRdndnt signal <brake_pedal_status> to CCZM module value=3 latency=1,bpedstatrdndntgrp_bpeddrvrprssstatrdndnt,,
Vehicle wakeup from Brake Pedal,Then_2,the CCZM module should provide power mode set to <VehPwMdeStat> value=5 latency=1,vehpwmdestatgrp_vehpwmdestat,,
Entering Enhanced Accessory Mode from NFC internal Scan,Given_1,the vehicle power mode is <VehPwMdeStat_initial> value=2,vehpwmdestatgrp_vehpwmdestat,,
Entering Enhanced Accessory Mode from NFC internal Scan,When_1,the user scans Active key in interior vehicle scanner value=2,activegrillmdulesnsfaltactla,,
Entering Enhanced Accessory Mode from NFC internal Scan,When_2,BUN module sends the broadcast activeKeyAuthentication(activeKeyAuthenticationResults) to CCZM value=2,vehvertcompaactl_ofordstabctrl2_oabs_can_fd,,
Entering Enhanced Accessory Mode from NFC internal Scan,When_3,CCZM valid active key status is <L_PropSysAuthStatis> value=2,activegrillmduletqbstactla,,
Entering Enhanced Accessory Mode from NFC internal Scan,Then_1,the CCZM module should provide vehicle power mode <VehPwMdeStat_final> value=5 latency=2,vehpwmdestatgrp_vehpwmdestatqlfr,,
Entering Enhanced Accessory Mode from NFC internal Scan,Then_2,the VCM module should request BECM to move High Voltage Contactors <BattTracCntctRq> value=1 latency=2,batttraccntctrq,,
Entering Enhanced Accessory Mode from NFC internal Scan,Then_3,the BECM module should confirm High Voltage Contactors <BattTracCntctCmd> value=2 latency=2,batttraccntctcmd,,
Key Authorization with vehicle shutdown at speed,Given_1,the power mode is set to <VehPwMdeStat_initial> value=7,vehpwmdestatgrp_vehpwmdestat,,
Key Authorization with vehicle shutdown at speed,When_1,the vehicle speed is signal is set to <VehVClstr> kph value=100,vehvclstr,,
Key Authorization with vehicle shutdown at speed,When_2,the vehicles shuts down with Vehicle Power Mode moved <VehPwMdeStat_final> value=6,vehpwmdestatgrp_vehpwmdestatqlfr,,
Key Authorization with vehicle shutdown at speed,Then_1,the CCZM module should hold Authorized valid key value=2 latency=2,activegrillmduleposhldcurrntactla,,
Shutdown at speed and HV contactors opened with stopped vehicle,Given_1,the power mode moved <VehPwMdeStat_initial> after shutdown at speed value=6,vehpwmdestatgrp_vehpwmdestat,,
Shutdown at speed and HV contactors opened with stopped vehicle,When_1,the vehicle speed signal is set <VehVClstr> value=0,vehvclstr,,
Shutdown at speed and HV contactors opened with stopped vehicle,When_2,the power mode is set <VehPwMdeStat_final> value=2,vehpwmdestatgrp_vehpwmdestat,,
Shutdown at speed and HV contactors opened with stopped vehicle,Then_1,the VCM module should provide BattTracCntctRq signal set to <hv_contactors_req> to BECM module value=0 latency=2,batttraccntctrq,,
Shutdown at speed and HV contactors opened with stopped vehicle,Then_2,the BECM module should provide BattTracCntctCmd signal set to <hv_contactors_status> to VCM module value=0 latency=2,batttraccntctcmd,,
